home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total,home_rest_days,away_rest_days,home_sp_plus,away_sp_plus,temp_C,wind_kph,precip_flag,market_spread_home,dk_spread_home,fd_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Army,Tulsa,9.738876767298954,0.7914816737174988,0.7476542393366495,50.43256,14,6,-1.9,-13.6,,,0,-10.0,-10.0,-9.5,-0.26112323270104554,0.0013056161635052277,-410.0,0.803921568627451,-0.012439894909952232,0.0,45.5,4.932559967041016,0.01
Oklahoma,Missouri,6.3441087752087135,0.5325380464394888,0.4236865242322286,50.96591,6,6,20.7,15.4,,,0,-6.5,-6.5,-6.5,-0.15589122479128648,0.0007794561239564323,-258.0,0.7206703910614525,-0.1881323446219637,0.0,42.5,8.465911865234375,0.01
Wake Forest,Delaware,18.562627745083255,0.9390545884768168,0.7918793161710104,49.433384,6,6,2.0,-10.7,,,0,-17.5,-17.5,-17.5,1.0626277450832546,0.005313138725416273,-1050.0,0.9130434782608695,0.026011110215947264,0.01,50.5,-1.0666160583496094,0.005333080291748047
Georgia,Charlotte,18.67617674449396,0.9690923094749451,0.7443474928538004,51.504246,6,7,20.2,-22.7,,,0,-43.5,-43.5,-43.5,-24.82382325550604,0.0,,,,0.0,53.5,-1.9957542419433594,0.009978771209716797
Georgia Southern,Old Dominion,-7.3634056180142995,0.26973417898019153,0.2866099327802658,54.68884,6,8,-10.8,1.9,,,0,10.0,10.0,10.5,2.6365943819857005,0.01,310.0,0.24390243902439024,0.02583173995580129,0.01,62.5,-7.811161041259766,0.01
Toledo,Ball State,19.007392648436042,0.9580009380976359,0.7123125592867533,44.869987,9,7,5.0,-20.1,,,0,-28.5,-28.5,-28.5,-9.492607351563958,0.0,-8000.0,0.9876543209876543,-0.029653382890018398,0.0,45.5,-0.6300125122070312,0.003150062561035156
Wyoming,Nevada,7.291163728901548,0.7282725969950358,0.637976070245107,43.386555,6,6,-5.8,-18.5,,,0,-6.5,-6.5,-6.5,0.7911637289015481,0.00395581864450774,-250.0,0.7142857142857143,0.013986882709321469,0.01,40.5,2.886554718017578,0.01
Kennesaw State,Missouri State,7.565944756907411,0.7275020480155945,0.6576893329620361,48.57625,6,6,-3.2,-10.4,,,0,-6.5,-6.5,-6.5,1.0659447569074114,0.0053297237845370575,-238.0,0.7041420118343196,0.023360036181274912,0.01,55.5,-6.9237518310546875,0.01
App State,Marshall,-0.7018872950267808,0.4784710357586543,0.4718840916951497,52.65999,6,7,-10.2,-5.4,,,0,5.5,5.5,4.5,4.798112704973219,0.01,190.0,0.3448275862068966,0.13364344955175772,0.01,56.5,-3.8400115966796875,0.01
UTEP,New Mexico State,0.45133246507873304,0.5138476490974426,0.537618488073349,47.812187,7,6,-13.7,-14.0,,,0,-3.0,-3.0,-3.5,-2.548667534921267,0.01,-166.0,0.6240601503759399,-0.11021250127849724,0.0,44.5,3.3121871948242188,0.01
Louisiana Tech,Liberty,7.24645882615232,0.7189471622308096,0.7771378755569458,53.06815,6,6,0.5,-7.4,,,0,1.5,1.5,1.5,8.74645882615232,0.0,-108.0,0.5192307692307693,0.1997163930000403,0.01,45.5,7.568149566650391,0.01
Florida Atlantic,UConn,-8.691070567222438,0.2344543288151423,0.3789917627970378,57.60994,6,7,-8.5,3.6,,,0,,,,,0.0,,,,0.0,,,0.0
Middle Tennessee,Sam Houston,0.8839573746579664,0.5271058777968088,0.4400545706351598,54.552364,6,6,-20.3,-25.1,,,0,-6.5,-6.5,-6.5,-5.6160426253420335,0.01,-245.0,0.7101449275362319,-0.1830390497394231,0.0,53.5,1.0523643493652344,0.005261821746826172
South Alabama,Southern Miss,-7.852950385487237,0.2564230312903722,0.3273687611023585,49.766792,7,7,-12.9,-1.4,,,0,1.5,1.5,1.5,-6.352950385487237,0.01,-102.0,0.504950495049505,-0.24852746375913276,0.0,53.5,-3.7332077026367188,0.01
