home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total
Tennessee,Syracuse,18.728048750739468,0.9853728810946146,0.6684621771176656,51.045383
Carson-Newman College,West Virginia State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Ohio State,Texas,7.709908819700757,0.8859708110491434,0.6697502930959066,48.20347
Kentucky,Toledo,8.78737096123848,0.6884792049725851,0.4677838285764058,49.076458
Tennessee Tech,Cumberland (TN),7.314530088695203,0.6870959202448527,0.4878699978192647,52.10885
Shaw,Albany State GA,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Davidson,Georgetown,-5.934881205669983,0.1231616735458374,0.4355248014132182,53.155304
Clark Atlanta,Valdosta State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Grand Valley State University,Lincoln (PA),3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Central State (OH),Kentucky State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Post University,West Virginia Wesleyan,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
West Virginia,Robert Morris,42.89149104216951,0.991614818572998,0.5303299923737844,60.92647
UConn,Central Connecticut,27.557190242676043,0.9898331761360168,0.4683092534542084,51.865982
Augustana University (SD),Missouri Western,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Fort Lewis,William Jewell,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Washburn,Truman State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Furman,William & Mary,-0.05240248786685253,0.23826424280802408,0.4324420889218648,47.289097
Northern Iowa,Butler,15.339805045439146,0.7279350360234579,0.46917401750882465,51.792072
Valparaiso,Virginia University Of Lynchburg,12.381082291508221,0.7954292893409729,0.40406057238578796,52.06442
Sacred Heart,Stonehill,6.759285433950583,0.7420222759246826,0.5068956514199575,46.456554
Boston College,Fordham,34.362996362269215,0.9898331761360168,0.4897083342075348,54.03843
Indiana,Old Dominion,26.11492160380837,0.9813610116640726,0.5862504343191782,53.333637
Northern Colorado,Chadron St,12.247208340332364,0.7928873300552368,0.4878699978192647,52.34102
Jackson State,Hampton,19.641491042169513,0.9824835856755575,0.5303299923737844,60.548065
Morehouse College,Johnson C Smith,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Louisville,Eastern Kentucky,41.74025451078777,0.991614818572998,0.6048869291941324,60.211258
Iowa State,South Dakota,21.39548022272814,0.9859421253204346,0.6650791764259338,49.548332
Massachusetts,Temple,-7.255846690894687,0.0061349694927533465,0.34593428174654645,50.23314
Northern Illinois,Holy Cross,13.759285433950584,0.95184725522995,0.5068956514199575,49.746025
Penn State,Nevada,45.46494037233954,0.9965899387995402,0.5778882503509521,59.699398
Air Force,Bucknell,31.665965032467582,0.9898331761360168,0.5243460138638815,54.65558
Florida State,Alabama,-12.64027972826586,0.46624915798505145,0.5244830946127573,49.186127
Georgia,Marshall,41.7258453714882,0.9965899387995402,0.6059660712877909,54.383278
Florida A&M,Howard,3.75348023694716,0.2703925520181656,0.4013833900292714,47.145016
Oregon,Montana State,32.413074033906256,0.991614818572998,0.6093165874481201,56.891922
Liberty,Maine,23.802797690530156,0.9830358227094015,0.45495707790056866,51.60039
Arkansas,Alabama A&M,50.281762752211826,0.9965899387995402,0.5865909159183502,65.45845
Tennessee State,North Carolina A&T,4.900789597456799,0.3787330786387126,0.45754759510358173,48.879482
Memphis,Chattanooga,34.49025451078777,0.9898331761360168,0.6048869291941324,57.89061
Benedict College,Fayetteville State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Mississippi Valley State,Southern,-15.21703187181399,0.6407968600591024,0.4281306266784668,48.410263
Pace,St. Anselm,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
East Tennessee State,Murray State,32.76147667124203,0.934978703657786,0.5467410484949747,56.303898
Chowan,Elizabeth City State,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
Western Carolina,Gardner-Webb,5.339805045439146,0.5244023501873016,0.46917401750882465,56.618046
James Madison,Weber State,31.238535021411145,0.9898331761360168,0.6112463772296906,56.6224
Mercer,Presbyterian,20.9007895974568,0.8232865730921427,0.45754759510358173,51.67355
Iowa,UAlbany,42.688318408811725,0.9965899387995402,0.5841627915700277,55.204426
Oklahoma,Illinois State,44.327050743742106,0.9950248797734579,0.6387564142545065,62.16611
UVA Wise,Concord University,3.4001959454736204,0.5896636048952738,0.4878699978192647,52.111103
South Carolina State,Wofford,8.895055334272707,0.5645525058110555,0.48391516009966534,47.908455
Virginia,Coastal Carolina,17.02735468109734,0.9802395304044088,0.6069332957267761,55.587234
Morehead State,Allen,13.07532937847953,0.808310866355896,0.458039790391922,52.06442
