home_team,away_team,fair_spread_home,p_home_win,fair_total,market_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Greeneville,Carson-Newman College,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Minnesota State Moorhead,Bemidji State,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
Winston-Salem,Fayetteville State,-0.9829772710800171,0.5702126622200012,52.571262,,,0.0,,,,0.0,,,0.0
Defiance College,Hanover College,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Ursinus,Gettysburg,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Minnesota State Mankato,University of Mary,-0.8384593327840164,0.5598899523417155,52.998257,,,0.0,,,,0.0,,,0.0
Trine University,Adrian,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Reading,Lebanon Valley,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
North Central College,Elmhurst,-5.56344203154246,0.8973887165387472,55.30857,,,0.0,,,,0.0,,,0.0
Concordia University St Paul,Minnesota Duluth,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Wayne State (NE),Northern State,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Franklin & Marshall,Muhlenberg,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Hartwick,Alfred University,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Albion,Olivet College,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Southern Virginia,Huntingdon College (AL),-0.9829772710800171,0.5702126622200012,52.571262,,,0.0,,,,0.0,,,0.0
Montclair State,Christopher Newport,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Lock Haven University,Shippensburg,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
St. Norbert,Lakeland,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Ithaca College,St. Lawrence,-0.8384593327840164,0.5598899523417155,54.79242,,,0.0,,,,0.0,,,0.0
Johns Hopkins University,Dickinson (PA),-5.954551339149475,0.9253250956535339,57.49353,,,0.0,,,,0.0,,,0.0
Concord University,Wheeling,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Denison University,Oberlin,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Cornell,Pennsylvania,-0.901922345161438,0.5644230246543884,53.094242,-2.5,1.598077654838562,0.00799038827419281,,,,0.0,51.5,1.5942420959472656,0.007971210479736328
Mississippi College,Northeastern State,-0.9829772710800171,0.5702126622200012,53.222572,,,0.0,,,,0.0,,,0.0
Lake Erie,Ohio Dominican,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Virginia St,Virginia Union,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Bowie State,Lincoln (PA),-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Lake Forest College,Monmouth (IL),-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Catholic,Wilkes,-0.8384593327840164,0.5598899523417155,54.79242,,,0.0,,,,0.0,,,0.0
New Hampshire,Monmouth,-0.901922345161438,0.5644230246543884,53.094242,-1.5,0.598077654838562,0.00299038827419281,,,,0.0,56.5,-3.4057579040527344,0.01
SE Louisiana,Northwestern State,-0.7036584615707397,0.5502613186836243,54.34043,28.0,-28.70365846157074,0.0,,,,0.0,53.5,0.8404312133789062,0.004202156066894531
North Park,Washington University (St. Louis),-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Kalamazoo,Alma,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Western New England,Biddeford,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Stony Brook,UAlbany,-0.901922345161438,0.5644230246543884,53.094242,2.5,-3.401922345161438,0.01,,,,0.0,48.5,4.594242095947266,0.01
Middle Tennessee,Liberty,5.952620178461075,0.07481284439563751,59.385162,-12.5,18.452620178461075,0.0,360.0,0.21739130434782608,-0.14257845995218857,0.0,55.0,4.385162353515625,0.01
Carroll University (WI),Illinois Wesleyan,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Buffalo State,Rensselaer,-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Calvin University,Hope College,-0.901922345161438,0.5644230246543884,53.094242,,,0.0,,,,0.0,,,0.0
Villanova,North Carolina A&T,-0.901922345161438,0.5644230246543884,53.094242,25.5,-26.401922345161438,0.0,,,,0.0,49.5,3.5942420959472656,0.01
