home_team,away_team,fair_spread_home,p_home_win,fair_total
Mercer,Furman,-0.901922345161438,0.5644230246543884,53.094242
Whitworth,Pomona Pitzer,-0.7886278629302979,0.5563305616378784,53.130325
Weber State,Cal Poly,-0.2922674814860031,0.5208762486775717,53.03434
Stephen F. Austin,Abilene Christian,-0.7886278629302979,0.5563305616378784,53.130325
Kennesaw State,Florida International,1.0475225150585175,0.4251769632101059,53.068188
Southern Miss,South Alabama,6.5333333263794575,0.033333333830038704,55.04311
Northern Arizona,Eastern Washington,-0.7886278629302979,0.5563305616378784,53.130325
Samford,Western Carolina,-0.901922345161438,0.5644230246543884,53.094242
Western Colorado,Central Washington,-0.7886278629302979,0.5563305616378784,53.130325
TCU,Arizona,-3.990553617477417,0.7850395441055298,61.293083
Florida Atlantic,Charlotte,-2.7224674622217817,0.6944619615872701,47.685745
South Florida,Tulsa,-5.999999920527141,0.9285714228947958,49.60696
Oklahoma State,Texas Tech,3.188752681016922,0.27223195135593414,58.08263
Coastal Carolina,Georgia Southern,-2.454907377560933,0.6753505269686381,57.855854
North Texas,East Carolina,-1.8559222618738815,0.6325658758481344,54.773346
Utah State,San Diego State,-2.779046694437663,0.698503335316976,54.7781
West Virginia,UCF,-4.195585568745931,0.7996846834818522,57.612247
Arizona State,BYU,2.845959593852361,0.2967171718676885,52.28045
Michigan,Northwestern,-4.390332738558452,0.813595195611318,57.952106
Texas,Kentucky,-6.257188161214192,0.9469420115152994,64.66434
California,Stanford,-4.368857502937317,0.8120612502098083,50.015015
Minnesota,Penn State,2.0851544638474784,0.3510603954394658,49.477802
Nebraska,Wisconsin,-5.583214958508809,0.8988010684649149,56.399483
Kansas,Colorado,-0.04667329788208008,0.5033338069915771,51.44509
Clemson,The Citadel,-6.2626068989435835,0.947329064210256,57.79208
Bethune-Cookman,Florida A&M,-0.901922345161438,0.5644230246543884,53.094242
Louisville,Pittsburgh,-3.252690990765889,0.7323350707689921,59.830368
South Carolina,Wofford,-6.676056504249573,0.9768611788749695,59.14019
Arkansas,Louisiana Tech,-4.348248998324077,0.8105892141660055,63.28677
