home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total,home_rest_days,away_rest_days,home_sp_plus,away_sp_plus,temp_C,wind_kph,precip_flag,market_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Ball State,Eastern Michigan,0.5258818093475761,0.4808220664660136,0.579934318860372,48.42988,9,6,-20.1,-17.1,,,0,-2.5,3.025881809347576,0.01,120.0,0.45454545454545453,0.02627661192055908,0.01,48.5,-0.07012176513671875,0.00035060882568359374
Navy,South Florida,-10.786724311643594,0.08182651083916426,0.4351263741652171,61.97906,6,8,2.2,11.3,,,0,-8.5,-2.286724311643594,0.01,270.0,0.2702702702702703,-0.18844375943110603,0.0,62.5,-0.5209388732910156,0.0026046943664550784
UConn,Air Force,3.9885642139080653,0.7733441591262817,0.40097785989443463,64.41092,6,6,3.6,-3.8,,,0,7.5,-3.5114357860919347,0.01,-305.0,0.7530864197530864,0.020257739373195305,0.01,64.5,-0.089080810546875,0.000445404052734375
Charlotte,UTSA,-14.212768213596746,0.04932366590946913,0.5918355782826742,55.473557,6,8,-22.7,-0.7,,,0,-17.0,2.787231786403254,0.01,550.0,0.15384615384615385,-0.10452248793668473,0.0,57.5,-2.0264434814453125,0.01
Northwestern,Michigan,-9.201688319104012,0.2895565877358119,0.5244830946127573,44.435013,7,13,1.7,15.7,,,0,-10.0,0.7983116808959885,0.003991558404479943,360.0,0.21739130434782608,0.0721652833879858,0.01,42.0,2.4350128173828125,0.01
Indiana,Wisconsin,28.591926989601674,0.9790239532788595,0.5236006875832876,46.4861,7,6,27.7,-4.4,,,0,28.0,0.5919269896016743,0.002959634948008372,-7250.0,0.9863945578231292,-0.007370604544269743,0.0,43.5,2.9860992431640625,0.01
Oklahoma State,Kansas State,-22.709314925570485,0.05778863032658895,0.39456408222516376,52.07681,13,13,-17.5,7.9,,,0,-19.5,-3.209314925570485,0.01,800.0,0.1111111111111111,-0.053322480784522154,0.0,50.5,1.5768089294433594,0.007884044647216797
Cincinnati,Arizona,0.535370446598538,0.44890154401461285,0.3578137755393982,56.059727,13,6,10.8,11.2,,,0,6.0,-5.464629553401462,0.01,-210.0,0.6774193548387096,-0.22851781082409678,0.0,56.5,-0.4402732849121094,0.002201366424560547
LSU,Arkansas,4.681673237749871,0.6828252673149109,0.5181236465771993,58.832794,6,13,11.4,9.3,,,0,4.0,0.6816732377498713,0.0034083661887493568,-185.0,0.6491228070175439,0.03370246029736701,0.01,58.5,0.332794189453125,0.001663970947265625
Tulsa,Oregon State,6.095839412433283,0.5873806575934092,0.6203458706537882,51.167965,6,6,-13.6,-10.8,,,0,1.5,4.595839412433283,0.01,-120.0,0.5454545454545454,0.04192611213886377,0.01,50.5,0.6679649353027344,0.003339824676513672
Arizona State,West Virginia,7.556501443408821,0.7405816117922465,0.42545344432195026,47.231747,14,7,5.4,-5.0,,,0,10.0,-2.4434985565911793,0.01,-380.0,0.7916666666666666,-0.051085054874420166,0.0,46.5,0.7317466735839844,0.003658733367919922
Georgia State,Marshall,-9.002071753827671,0.2162930630147457,0.5152766207853953,61.365433,6,7,-22.1,-5.4,,,0,-9.5,0.49792824617232867,0.0024896412308616435,270.0,0.2702702702702703,-0.05397720725552457,0.0,59.5,1.8654327392578125,0.009327163696289062
UAB,North Texas,-18.543418690470514,0.009797973247865835,0.4653550088405609,70.61825,7,14,-12.9,11.8,,,0,-17.5,-1.0434186904705136,0.0052170934523525685,625.0,0.13793103448275862,-0.1281330612348928,0.0,69.0,1.6182479858398438,0.00809123992919922
Missouri State,UTEP,3.9007208266071496,0.7521046996116638,0.4312135974566142,45.38261,7,7,-10.4,-13.7,,,0,6.5,-2.5992791733928504,0.01,-250.0,0.7142857142857143,0.03781898532594952,0.01,48.5,-3.117389678955078,0.01
New Mexico,Colorado State,18.068630906906535,0.8959815303484598,0.5783158938090006,50.3149,14,6,-2.6,-13.8,,,0,15.5,2.5686309069065345,0.01,-850.0,0.8947368421052632,0.0012446882431966788,0.01,53.5,-3.185100555419922,0.01
Miami,NC State,20.310054321635448,0.9238749742507935,0.6152699192365011,54.815834,7,13,18.3,3.7,,,0,16.5,3.810054321635448,0.01,-700.0,0.875,0.04887497425079346,0.01,54.5,0.31583404541015625,0.0015791702270507814
Alabama,Oklahoma,7.282308396657082,0.7790052692095438,0.5207969645659128,44.56249,6,13,19.5,20.7,,,0,6.5,0.7823083966570819,0.003911541983285409,-250.0,0.7142857142857143,0.06471955492382953,0.01,45.5,-0.9375114440917969,0.004687557220458985
USC,Iowa,7.321957831357887,0.7356907625993093,0.5218499799569448,46.859863,7,7,19.2,17.2,,,0,6.5,0.8219578313578868,0.004109789156789434,-230.0,0.696969696969697,0.038721065629612306,0.01,48.5,-1.64013671875,0.00820068359375
Boston College,Georgia Tech,-13.536791913697076,0.15841995303829512,0.5975203514099121,60.50446,7,13,-10.6,10.5,,,0,-16.5,2.9632080863029238,0.01,570.0,0.14925373134328357,0.00916622169501155,0.01,61.5,-0.9955406188964844,0.004977703094482422
Michigan State,Penn State,-10.820504388521314,0.22342409193515778,0.384422908226649,48.893124,14,7,-2.1,15.0,,,0,-7.0,-3.8205043885213144,0.01,210.0,0.3225806451612903,-0.09915655322613254,0.0,49.0,-0.10687637329101562,0.0005343818664550782
Texas Tech,UCF,23.755483595822867,0.9830358227094015,0.4752642810344696,47.01089,7,7,25.2,3.8,,,0,24.5,-0.7445164041771335,0.0037225820208856676,-2800.0,0.9655172413793104,0.0175185813300911,0.01,48.5,-1.4891090393066406,0.007445545196533203
Western Kentucky,Middle Tennessee,16.122430901434566,0.9546332359313965,0.579934318860372,50.13615,14,7,-0.9,-20.3,,,0,13.5,2.6224309014345657,0.01,-550.0,0.8461538461538461,0.10847938977755034,0.01,51.5,-1.3638496398925781,0.006819248199462891
Illinois,Maryland,20.793389693929207,0.9234707156817118,0.6204529802004496,50.97732,14,7,13.4,3.5,,,0,16.5,4.293389693929207,0.01,-750.0,0.8823529411764706,0.041117774505241234,0.01,51.5,-0.5226783752441406,0.0026133918762207033
